idx,prompt,reference,lstm_generated,lora_generated
118,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
119,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(672), np.int64(6), np.int64(30), np.int64(130), np.int64(2075), np.int64(187),","np.int64(5), np.int64(40), np.int64(719), np.int64(459), np.int64(766), np.int64(5)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(672), np.int64(6), np.int64(30), np.int64(130), np.int64(2075), np.int64(187), np.int64(9), np.int64(10), np.int64(3), np.int64(2), np.int64(2), np.int64(1), np."
120,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(2), np.int64(242), np.int64(51), np.int64(150), np.int64(46), np.int64(211)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
121,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
122,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(3428),","np.int64(1603), np.int64(338), np.int64(69), np.int64(44), np.int64(200), np.int64(22)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(3428), np.int64(3), np.int64(3628), np.int64(3628), np.int64(3628), np.int64(3628), np.int64"
123,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(718),","np.int64(169), np.int64(22), np.int64(832), np.int64(88), np.int64(1894), np.int64(94)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(718), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np."
124,"[np.int64(30), np.int64(343), np.int64(167), np.int64(22), np.int64(117), np.int64(503), np.int64(1503), np.int64(8240), np.int64(51), np.int64(116), np.int64(9174), np.int64(8), np.int64(264), np.int64(8), np.int64(155), np.int64(343), np.int64(82), np.int64(1297),","np.int64(91), np.int64(64), np.int64(769), np.int64(30), np.int64(130), np.int64(1165)]",,"[np.int64(30), np.int64(343), np.int64(167), np.int64(22), np.int64(117), np.int64(503), np.int64(1503), np.int64(8240), np.int64(51), np.int64(116), np.int64(9174), np.int64(8), np.int64(264), np.int64(8), np.int64(155), np.int64(343), np.int64(82), np.int64(1297), np.int64(972), np.int64(1002), np.int64(973), np.int64(1026), np.int64(1019), np.int64"
125,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(266), np.int64(30)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
126,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1117), np.int64(293), np.int64(55), np.int64(3223), np.int64(842), np.int64(121), np.int64(28), np.int64(1129), np.int64(4550), np.int64(991), np.int64(79), np.int64(271), np.int64(118),","np.int64(22), np.int64(1641), np.int64(155), np.int64(8391), np.int64(92), np.int64(395)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1117), np.int64(293), np.int64(55), np.int64(3223), np.int64(842), np.int64(121), np.int64(28), np.int64(1129), np.int64(4550), np.int64(991), np.int64(79), np.int64(271), np.int64(118), np.int64(619), np.int64(1), np.int64(1214), np.int64(639), np.int64(1), np.int64(16"
127,"[np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(130), np.int64(112), np.int64(155), np.int64(935), np.int64(285), np.int64(2836), np.int64(51), np.int64(610), np.int64(22), np.int64(8860), np.int64(73), np.int64(719), np.int64(591), np.int64(30),","np.int64(167), np.int64(5447), np.int64(83), np.int64(517), np.int64(676), np.int64(64)]",,"[np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(130), np.int64(112), np.int64(155), np.int64(935), np.int64(285), np.int64(2836), np.int64(51), np.int64(610), np.int64(22), np.int64(8860), np.int64(73), np.int64(719), np.int64(591), np.int64(30), np.int64(718), np.int64(717), np.int64(12), np.int64(934), np.int64(935), np.int64"
128,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(8530)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
129,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(2), np.int64(74), np.int64(2512), np.int64(1091)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np."
130,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(91), np.int64(147), np.int64(1283), np.int64(30), np.int64(134), np.int64(5), np.int64(41), np.int64(1033), np.int64(1282), np.int64(94),","np.int64(127), np.int64(30), np.int64(5), np.int64(34), np.int64(91), np.int64(1329)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(91), np.int64(147), np.int64(1283), np.int64(30), np.int64(134), np.int64(5), np.int64(41), np.int64(1033), np.int64(1282), np.int64(94), np.int64(929), np.int64(918), np.int64(1033), np.int64(5), np.int64(918), np.int64"
131,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(2), np.int64(273), np.int64(114), np.int64(92), np.int64(59)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
132,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(2), np.int64(30), np.int64(5), np.int64(34), np.int64(1990)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
133,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(862), np.int64(121), np.int64(73), np.int64(2258), np.int64(139), np.int64(259),","np.int64(8), np.int64(30), np.int64(234), np.int64(169), np.int64(22), np.int64(1218)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(862), np.int64(121), np.int64(73), np.int64(2258), np.int64(139), np.int64(259), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
134,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(2), np.int64(3784), np.int64(6), np.int64(185), np.int64(79)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
135,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(2), np.int64(411), np.int64(6), np.int64(127), np.int64(61), np.int64(5)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
136,"[np.int64(435), np.int64(8453), np.int64(6), np.int64(181), np.int64(142), np.int64(72), np.int64(21), np.int64(155), np.int64(65), np.int64(74), np.int64(231), np.int64(285), np.int64(79), np.int64(30), np.int64(230), np.int64(82), np.int64(697), np.int64(196),","np.int64(72), np.int64(217), np.int64(51), np.int64(1324), np.int64(61), np.int64(449)]",,"[np.int64(435), np.int64(8453), np.int64(6), np.int64(181), np.int64(142), np.int64(72), np.int64(21), np.int64(155), np.int64(65), np.int64(74), np.int64(231), np.int64(285), np.int64(79), np.int64(30), np.int64(230), np.int64(82), np.int64(697), np.int64(196), np.int64(99), np.int64(101), np.int64(141), np.int64(147), np.int64(101), np.int64(102), np"
137,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(286), np.int64(230), np.int64(3122), np.int64(82), np.int64(3994), np.int64(21), np.int64(134),","np.int64(5), np.int64(41), np.int64(328), np.int64(51), np.int64(652), np.int64(61)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(286), np.int64(230), np.int64(3122), np.int64(82), np.int64(3994), np.int64(21), np.int64(134), np.int64(2), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0),"
138,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(56), np.int64(71), np.int64(6), np.int64(72), np.int64(5), np.int64(57),","np.int64(138), np.int64(5815), np.int64(6), np.int64(204), np.int64(838), np.int64(65)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(56), np.int64(71), np.int64(6), np.int64(72), np.int64(5), np.int64(57), np.int64(6), np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np."
139,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(7), np.int64(106), np.int64(1000),","np.int64(29), np.int64(8179), np.int64(19), np.int64(30), np.int64(34), np.int64(79)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(7), np.int64(106), np.int64(1000), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(2), np"
140,"[np.int64(48), np.int64(51), np.int64(137), np.int64(242), np.int64(654), np.int64(127), np.int64(74), np.int64(901), np.int64(657), np.int64(60), np.int64(244), np.int64(22), np.int64(2181), np.int64(73), np.int64(170), np.int64(242), np.int64(654), np.int64(79),","np.int64(108), np.int64(5), np.int64(40), np.int64(22), np.int64(5597), np.int64(91)]",,"[np.int64(48), np.int64(51), np.int64(137), np.int64(242), np.int64(654), np.int64(127), np.int64(74), np.int64(901), np.int64(657), np.int64(60), np.int64(244), np.int64(22), np.int64(2181), np.int64(73), np.int64(170), np.int64(242), np.int64(654), np.int64(79), np.int64(197), np.int64(2181), np.int64(7), np.int64(7), np.int64(14), np.int64(9),"
141,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(2), np.int64(7043), np.int64(1253), np.int64(8), np.int64(9301)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int"
142,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(2280), np.int64(238), np.int64(1085), np.int64(8), np.int64(289), np.int64(100), np.int64(720), np.int64(5), np.int64(41), np.int64(245),","np.int64(109), np.int64(8368), np.int64(446), np.int64(273), np.int64(118), np.int64(2945)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(2280), np.int64(238), np.int64(1085), np.int64(8), np.int64(289), np.int64(100), np.int64(720), np.int64(5), np.int64(41), np.int64(245), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(1), np."
143,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(3895), np.int64(7), np.int64(32), np.int64(4),","np.int64(242), np.int64(51), np.int64(23), np.int64(1078), np.int64(51), np.int64(189)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(3895), np.int64(7), np.int64(32), np.int64(4), np.int64(10), np.int64(8), np.int64(5), np.int64(7), np.int64(5), np.int64(6), np"
144,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(2), np.int64(65), np.int64(58), np.int64(150), np.int64(3918)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
145,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(415)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
146,"[np.int64(2440), np.int64(83), np.int64(73), np.int64(181), np.int64(4907), np.int64(72), np.int64(138), np.int64(82), np.int64(1132), np.int64(366), np.int64(4), np.int64(13), np.int64(2539), np.int64(92), np.int64(1975), np.int64(73), np.int64(30), np.int64(5),","np.int64(34), np.int64(22), np.int64(910), np.int64(59), np.int64(474), np.int64(88)]",,"[np.int64(2440), np.int64(83), np.int64(73), np.int64(181), np.int64(4907), np.int64(72), np.int64(138), np.int64(82), np.int64(1132), np.int64(366), np.int64(4), np.int64(13), np.int64(2539), np.int64(92), np.int64(1975), np.int64(73), np.int64(30), np.int64(5), np.int64(13), np.int64(13), np.int64(23), np.int64(36), np.int64(37), np.int64(19),"
147,"[np.int64(0), np.int64(0), np.int64(2), np.int64(1808), np.int64(35), np.int64(3019), np.int64(671), np.int64(134), np.int64(2176), np.int64(895), np.int64(52), np.int64(47), np.int64(91), np.int64(59), np.int64(174), np.int64(533), np.int64(6), np.int64(109),","np.int64(230), np.int64(365), np.int64(337), np.int64(9094), np.int64(73), np.int64(1844)]",,"[np.int64(0), np.int64(0), np.int64(2), np.int64(1808), np.int64(35), np.int64(3019), np.int64(671), np.int64(134), np.int64(2176), np.int64(895), np.int64(52), np.int64(47), np.int64(91), np.int64(59), np.int64(174), np.int64(533), np.int64(6), np.int64(109), np.int64(1903), np.int64(16, np.int64(2, np.int64(1), np.int64(2, np.int64(2, np"
148,"[np.int64(0), np.int64(2), np.int64(30), np.int64(562), np.int64(118), np.int64(51), np.int64(84), np.int64(113), np.int64(51), np.int64(189), np.int64(371), np.int64(30), np.int64(5), np.int64(34), np.int64(1140), np.int64(51), np.int64(286), np.int64(59),","np.int64(4050), np.int64(4313), np.int64(30), np.int64(5), np.int64(34), np.int64(3032)]",,"[np.int64(0), np.int64(2), np.int64(30), np.int64(562), np.int64(118), np.int64(51), np.int64(84), np.int64(113), np.int64(51), np.int64(189), np.int64(371), np.int64(30), np.int64(5), np.int64(34), np.int64(1140), np.int64(51), np.int64(286), np.int64(59), np.int64(79), np.int64(45), np.int64(44), np.int64(6), np.int64(10), np.int64(8), np.int"
149,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(2184)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
150,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(337), np.int64(156), np.int64(109), np.int64(230), np.int64(1253),","np.int64(55), np.int64(200), np.int64(109), np.int64(142), np.int64(528), np.int64(55)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(337), np.int64(156), np.int64(109), np.int64(230), np.int64(1253), np.int64(6), np.int64(3), np.int64(5), np.int64(9), np.int64(3), np.int64(9),"
151,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
152,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(242), np.int64(51), np.int64(150), np.int64(8), np.int64(30),","np.int64(137), np.int64(1574), np.int64(7131), np.int64(332), np.int64(74), np.int64(81)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(242), np.int64(51), np.int64(150), np.int64(8), np.int64(30), np.int64(28), np.int64(32), np.int64(4), np.int64(8), np.int64(8), np.int64(32), np."
153,"[np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(4523), np.int64(210), np.int64(148), np.int64(162), np.int64(56), np.int64(666), np.int64(134), np.int64(246), np.int64(20), np.int64(56), np.int64(50), np.int64(4131), np.int64(247), np.int64(118),","np.int64(22), np.int64(326), np.int64(41), np.int64(88), np.int64(323), np.int64(44)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(4523), np.int64(210), np.int64(148), np.int64(162), np.int64(56), np.int64(666), np.int64(134), np.int64(246), np.int64(20), np.int64(56), np.int64(50), np.int64(4131), np.int64(247), np.int64(118), np.int64(841), np.int64(22), np.int64(48), np.int64(4132), np.int64(27), np.int64("
154,"[np.int64(342), np.int64(65), np.int64(21), np.int64(200), np.int64(21), np.int64(342), np.int64(5), np.int64(40), np.int64(59), np.int64(365), np.int64(117), np.int64(371), np.int64(356), np.int64(293), np.int64(121), np.int64(135), np.int64(5), np.int64(7088),","np.int64(877), np.int64(5), np.int64(41), np.int64(200), np.int64(61), np.int64(880)]",,"[np.int64(342), np.int64(65), np.int64(21), np.int64(200), np.int64(21), np.int64(342), np.int64(5), np.int64(40), np.int64(59), np.int64(365), np.int64(117), np.int64(371), np.int64(356), np.int64(293), np.int64(121), np.int64(135), np.int64(5), np.int64(7088), np.int64(120), np.int64(100), np.int64(109), np.int64(102), np.int64(120), np.int64(102),"
155,"[np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(5), np.int64(34), np.int64(197), np.int64(51), np.int64(5194), np.int64(22), np.int64(1424), np.int64(94), np.int64(73), np.int64(314), np.int64(6), np.int64(397), np.int64(51), np.int64(118),","np.int64(22), np.int64(401), np.int64(4221), np.int64(135), np.int64(22), np.int64(1023)]",,"[np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(5), np.int64(34), np.int64(197), np.int64(51), np.int64(5194), np.int64(22), np.int64(1424), np.int64(94), np.int64(73), np.int64(314), np.int64(6), np.int64(397), np.int64(51), np.int64(118), np.int64(19), np.int64(25), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np."
156,"[np.int64(57), np.int64(2171), np.int64(780), np.int64(308), np.int64(3725), np.int64(7094), np.int64(3632), np.int64(8), np.int64(30), np.int64(118), np.int64(22), np.int64(7030), np.int64(3044), np.int64(555), np.int64(2438), np.int64(2826), np.int64(91), np.int64(2701),","np.int64(57), np.int64(6), np.int64(79), np.int64(30), np.int64(241), np.int64(289)]",,"[np.int64(57), np.int64(2171), np.int64(780), np.int64(308), np.int64(3725), np.int64(7094), np.int64(3632), np.int64(8), np.int64(30), np.int64(118), np.int64(22), np.int64(7030), np.int64(3044), np.int64(555), np.int64(2438), np.int64(2826), np.int64(91), np.int64(2701), np.int64(2343), np.int64(1211), np.int64(2128), np.int64(1606), np.int64(1), np.int"
